电影名称,上映年份,类型,导演,片长(分钟),预算(百万),票房(百万),IMDb评分,豆瓣评分,观看人数(万),是否获奖
星际穿越,2014,科幻,克里斯托弗·诺兰,169,165,731,8.7,9.4,2850,是
盗梦空间,2010,科幻,克里斯托弗·诺兰,148,160,836,8.8,9.3,3200,是
阿凡达,2009,科幻,詹姆斯·卡梅隆,162,237,2923,7.9,8.7,4500,是
阿凡达2,2022,科幻,詹姆斯·卡梅隆,192,350,2320,7.7,7.9,3200,否
泰坦尼克号,1997,爱情,詹姆斯·卡梅隆,194,200,2257,7.9,9.4,5200,是
肖申克的救赎,1994,剧情,弗兰克·德拉邦特,142,25,73,9.3,9.7,4800,是
教父,1972,剧情,弗朗西斯·科波拉,175,6,250,9.2,9.3,3800,是
黑暗骑士,2008,动作,克里斯托弗·诺兰,152,185,1006,9.0,9.2,3500,是
搏击俱乐部,1999,剧情,大卫·芬奇,139,63,101,8.8,9.0,2800,否
阿甘正传,1994,剧情,罗伯特·泽米吉斯,142,55,678,8.8,9.5,4200,是
指环王3,2003,奇幻,彼得·杰克逊,201,94,1146,9.0,9.2,3800,是
指环王1,2001,奇幻,彼得·杰克逊,178,93,898,8.8,9.0,3500,是
指环王2,2002,奇幻,彼得·杰克逊,179,94,947,8.8,9.1,3400,是
黑客帝国,1999,科幻,沃卓斯基姐妹,136,63,466,8.7,9.1,4200,是
千与千寻,2001,动画,宫崎骏,125,19,395,8.6,9.4,3600,是
你的名字,2016,动画,新海诚,106,8,382,8.4,8.5,2800,否
寄生虫,2019,剧情,奉俊昊,132,11,263,8.5,8.8,2500,是
小丑,2019,剧情,托德·菲利普斯,122,55,1074,8.4,8.7,2300,是
复仇者联盟4,2019,动作,罗素兄弟,181,356,2798,8.4,8.5,3800,否
蜘蛛侠:英雄无归,2021,动作,乔·沃茨,148,200,1922,8.3,7.8,2500,否
流浪地球,2019,科幻,郭帆,125,50,700,7.0,7.9,3900,否
流浪地球2,2023,科幻,郭帆,173,80,604,7.8,8.3,3500,否
长津湖,2021,战争,陈凯歌/徐克/林超贤,176,200,902,5.5,7.4,4600,否
战狼2,2017,动作,吴京,123,30,870,6.0,7.1,4000,否
你好李焕英,2021,喜剧,贾玲,128,8,822,6.5,7.7,3700,否
奥本海默,2023,剧情,克里斯托弗·诺兰,180,100,954,8.5,8.8,2200,是
芭比,2023,喜剧,格蕾塔·葛韦格,114,145,1446,6.9,8.2,2600,否
超级马力欧,2023,动画,亚伦·霍瓦斯,92,100,1362,7.2,8.0,1800,否
封神第一部,2023,奇幻,乌尔善,148,120,372,7.0,7.8,3200,否
孤注一掷,2023,剧情,申奥,130,5,530,6.7,7.4,3900,否
铃芽之旅,2023,动画,新海诚,122,8,325,7.5,7.6,1500,否
速度与激情10,2023,动作,路易斯·莱特里尔,141,340,715,5.8,6.3,1600,否
银河护卫队3,2023,科幻,詹姆斯·古恩,150,250,845,8.0,8.4,2000,否
消失的她,2023,悬疑,崔睿/刘翔,121,8,488,6.4,7.5,4200,否
满江红,2023,剧情,张艺谋,159,50,673,6.7,7.1,4500,否
海王2,2023,动作,温子仁,124,215,434,5.7,6.4,1100,否
碟中谍7,2023,动作,克里斯托弗·麦奎里,163,291,567,7.8,7.9,1400,否
变形金刚7,2023,动作,小斯蒂芬·卡普尔,127,200,439,6.1,6.0,1200,否
闪电侠,2023,动作,安德斯·穆斯切蒂,144,220,271,6.8,7.7,950,否
疯狂元素城,2023,动画,彼得·孙,93,200,496,7.0,7.3,1300,否
