日期,城市,最高温度,最低温度,平均温度,降水量,湿度,风速,空气质量指数,天气状况
2024-01-01,北京,2,-8,-3,0,35,3.5,85,晴
2024-01-02,北京,4,-6,-1,0,40,4.2,92,多云
2024-01-03,北京,1,-9,-4,2.5,55,5.8,110,小雪
2024-01-04,北京,-2,-12,-7,0.5,60,6.2,75,晴
2024-01-05,北京,3,-5,-1,0,38,3.0,68,晴
2024-01-06,北京,5,-3,1,0,42,3.8,80,多云
2024-01-07,北京,0,-10,-5,0,45,4.5,95,阴
2024-01-08,北京,6,-2,2,0,32,2.5,60,晴
2024-01-09,北京,7,0,3.5,0,30,3.2,55,晴
2024-01-10,北京,4,-4,0,1.2,50,4.0,88,小雨
2024-01-11,北京,8,1,4.5,0,28,2.8,50,晴
2024-01-12,北京,-1,-7,-4,3.0,65,6.5,120,中雪
2024-01-13,北京,3,-10,-3.5,0,40,3.5,72,晴
2024-01-14,北京,5,-2,1.5,0,35,3.0,65,晴
2024-01-15,北京,2,-5,-1.5,0,45,4.8,90,多云
2024-01-01,上海,10,4,7,5.2,75,4.0,55,小雨
2024-01-02,上海,12,6,9,0,68,3.5,48,多云
2024-01-03,上海,8,3,5.5,12.5,85,5.2,70,中雨
2024-01-04,上海,11,5,8,0.5,72,4.5,52,阴
2024-01-05,上海,13,7,10,0,60,3.0,45,多云
2024-01-06,上海,14,8,11,0,55,2.8,40,晴
2024-01-07,上海,9,4,6.5,8.0,80,5.5,65,中雨
2024-01-08,上海,15,7,11,0,50,2.5,38,晴
2024-01-09,上海,16,9,12.5,0,48,2.2,35,晴
2024-01-10,上海,13,8,10.5,0,62,3.8,42,多云
2024-01-11,上海,17,10,13.5,0,45,2.0,32,晴
2024-01-12,上海,14,9,11.5,1.0,65,4.2,48,小雨
2024-01-13,上海,11,6,8.5,3.5,78,5.0,62,小雨
2024-01-14,上海,16,8,12,0,52,2.5,38,晴
2024-01-15,上海,15,10,12.5,0,55,3.0,40,多云
2024-01-01,广州,18,12,15,2.0,70,3.0,52,多云
2024-01-02,广州,20,14,17,0,68,2.5,45,晴
2024-01-03,广州,22,15,18.5,0,65,2.0,42,晴
2024-01-04,广州,19,13,16,5.5,78,4.5,58,小雨
2024-01-05,广州,21,14,17.5,0,60,2.8,38,晴
2024-01-06,广州,23,16,19.5,0,55,2.2,35,晴
2024-01-07,广州,17,11,14,15.0,85,5.0,65,大雨
2024-01-08,广州,24,17,20.5,0,50,2.0,32,晴
2024-01-09,广州,25,18,21.5,0,48,1.8,30,晴
2024-01-10,广州,22,16,19,1.0,62,3.2,40,多云
2024-01-11,广州,26,19,22.5,0,45,2.0,28,晴
2024-01-12,广州,27,20,23.5,0,42,1.5,25,晴
2024-01-13,广州,20,15,17.5,8.0,80,5.5,55,中雨
2024-01-14,广州,25,18,21.5,0,50,2.2,35,晴
2024-01-15,广州,24,17,20.5,0.5,55,2.5,38,多云
2024-01-01,成都,8,3,5.5,1.0,75,2.5,68,阴
2024-01-02,成都,9,4,6.5,0.5,72,2.0,62,多云
2024-01-03,成都,7,2,4.5,3.0,82,4.0,85,小雨
2024-01-04,成都,6,1,3.5,8.5,88,5.2,95,中雨
2024-01-05,成都,10,5,7.5,0,68,2.0,55,多云
2024-01-06,成都,12,6,9,0,60,1.8,48,晴
2024-01-07,成都,8,3,5.5,2.5,78,3.5,72,小雨
2024-01-08,成都,13,7,10,0,55,1.5,42,晴
2024-01-09,成都,14,8,11,0,50,1.2,38,晴
2024-01-10,成都,11,6,8.5,1.0,65,2.5,55,多云
2024-01-11,成都,15,9,12,0,48,1.0,35,晴
2024-01-12,成都,10,5,7.5,6.0,82,4.2,78,中雨
2024-01-13,成都,9,4,6.5,2.0,76,3.0,65,小雨
2024-01-14,成都,14,8,11,0,52,1.5,40,晴
2024-01-15,成都,12,7,9.5,0.5,60,2.0,48,多云
